Start time: 2023-06-30 14:44:40.288486
torch.Size([512, 10]) torch.Size([512, 1])
Sequential(
  (0): Linear(in_features=10, out_features=512, bias=True)
  (1): LeakyReLU(negative_slope=0.05)
  (2): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.05)
  )
  (3): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.05)
  )
  (4): Linear(in_features=512, out_features=1, bias=True)
)
Using device: cuda:2
===== Training profile tensin-3x512-s3 - 1 =====
[0:00:27.099767] epoch: 0 | elbo: 2248188.2749999994 | train_rmse: 8.8978 | val_rmse: 8.8648 | val_ll: -5.6567
[0:08:48.322660] epoch: 50 | elbo: 2156610.445 | train_rmse: 3.6145 | val_rmse: 3.8105 | val_ll: -2.715
[0:17:26.578194] epoch: 100 | elbo: 2098931.425 | train_rmse: 2.0046 | val_rmse: 2.3819 | val_ll: -2.3178
[0:26:10.459671] epoch: 150 | elbo: 2044980.3125 | train_rmse: 1.4862 | val_rmse: 1.8912 | val_ll: -2.2353
[0:35:01.505306] epoch: 200 | elbo: 1991434.1024999998 | train_rmse: 1.2211 | val_rmse: 1.6303 | val_ll: -2.1999
[0:43:41.726198] epoch: 250 | elbo: 1938044.9662499998 | train_rmse: 1.0201 | val_rmse: 1.4161 | val_ll: -2.1755
[0:52:21.889945] epoch: 300 | elbo: 1884728.3400000003 | train_rmse: 0.8929 | val_rmse: 1.2612 | val_ll: -2.1609
[1:01:21.414407] epoch: 350 | elbo: 1831557.6625 | train_rmse: 0.8148 | val_rmse: 1.1666 | val_ll: -2.1548
[1:09:47.163615] epoch: 400 | elbo: 1778454.2212500002 | train_rmse: 0.7782 | val_rmse: 1.1121 | val_ll: -2.1498
[1:13:46.049606] epoch: 450 | elbo: 1725359.1150000002 | train_rmse: 0.7625 | val_rmse: 1.0808 | val_ll: -2.1498
[1:16:53.235759] epoch: 500 | elbo: 1672303.2887499998 | train_rmse: 0.7548 | val_rmse: 1.0531 | val_ll: -2.15
[1:19:53.969107] epoch: 550 | elbo: 1619293.79 | train_rmse: 0.7493 | val_rmse: 1.0467 | val_ll: -2.1538
[1:22:55.364120] epoch: 600 | elbo: 1566320.9725 | train_rmse: 0.75 | val_rmse: 1.0421 | val_ll: -2.1573
[1:26:04.863814] epoch: 650 | elbo: 1513359.94125 | train_rmse: 0.7717 | val_rmse: 1.0489 | val_ll: -2.163
[1:29:34.113347] epoch: 700 | elbo: 1460480.7825000002 | train_rmse: 0.7867 | val_rmse: 1.048 | val_ll: -2.1687
[1:32:58.893355] epoch: 750 | elbo: 1407637.9512500004 | train_rmse: 0.8074 | val_rmse: 1.0613 | val_ll: -2.175
